atom,species,component,zstar_PBE_D3BJ_e,vasp_PBE_D3BJ_reference_geometry_e,reference_B3LYP_D3BJ_e
7,Sb,xx,1.1001512667146551,0.96423000,1.14267857
7,Sb,yy,0.31341703393991766,0.27257000,0.36704621
7,Sb,zz,4.641837578813197,4.61893500,4.34097421
8,Sb,xx,0.867151254211792,0.77442000,0.99866242
8,Sb,yy,0.5878095948082911,0.56285500,0.67003841
8,Sb,zz,5.972245984948326,6.04176000,6.1349116
1,S,xx,-0.5301302787940937,-0.13177000,-0.51433403
1,S,yy,-0.16403929785384494,-0.14180000,-0.19918802
1,S,zz,-4.10132662619696,-4.11996000,-3.78606136
2,S,xx,-0.7558394224591194,-0.84832000,-0.8594872
2,S,yy,-0.24409463499297654,-0.21618500,-0.27641609
2,S,zz,-3.353454073478986,-3.42853000,-3.43005056
3,S,xx,-0.6813328196732339,-0.75855000,-0.76751978
3,S,yy,-0.4930926959013872,-0.47744000,-0.56148044
3,S,zz,-3.1593028640855754,-3.11221000,-3.2597733
